Cliente,Fecha,Importe,Estado
9359,05/01/2020,7407,Completado
10634,05/01/2020,55199,Completado
9189,05/01/2020,59669,Completado
9783,05/01/2020,84574,Completado
9458,05/01/2020,13931,Completado
9387,06/01/2020,98059,Completado
10542,06/01/2020,5049,Completado
9990,06/01/2020,30778,Completado
9868,06/01/2020,6616,Completado
10205,06/01/2020,75564,Completado
9859,06/01/2020,44802,Completado
9504,06/01/2020,40034,Completado
10476,06/01/2020,20582,Completado
10636,06/01/2020,64711,Completado
10071,06/01/2020,15848,Completado
9619,06/01/2020,13188,Completado
9461,06/01/2020,14780,Completado
9736,06/01/2020,80046,Completado
10002,06/01/2020,15620,Completado
9630,06/01/2020,27179,Completado
10475,06/01/2020,62429,Completado
10159,06/01/2020,92753,Completado
10004,06/01/2020,75303,Completado
9851,06/01/2020,86177,Completado
10286,06/01/2020,5566,Completado
10581,07/01/2020,12346,Completado
9577,07/01/2020,94800,Completado
9896,07/01/2020,34737,Completado
9655,07/01/2020,69229,Completado
9841,07/01/2020,29787,Completado
10121,07/01/2020,39408,Completado
10462,07/01/2020,31767,Completado
9615,07/01/2020,42411,Completado
9651,07/01/2020,25895,Completado
9678,07/01/2020,99106,Completado
10377,07/01/2020,89807,Completado
9603,07/01/2020,16885,Completado
9279,07/01/2020,39076,Completado
9384,07/01/2020,12836,Completado
10437,07/01/2020,75394,Completado
9087,07/01/2020,91584,Completado
10313,07/01/2020,97493,Completado
10269,07/01/2020,50349,Completado
9222,07/01/2020,70897,Completado
9394,07/01/2020,39618,Completado
10108,08/01/2020,13788,Completado
10253,08/01/2020,62289,Completado
10636,08/01/2020,1021,Completado
9168,08/01/2020,34634,Completado
10255,08/01/2020,39791,Completado
9574,08/01/2020,88158,Completado
10263,08/01/2020,19520,Completado
9903,08/01/2020,43622,Completado
10441,08/01/2020,87976,Completado
9846,08/01/2020,29546,Completado
9896,08/01/2020,60956,Completado
10167,08/01/2020,79693,Completado
9098,08/01/2020,12251,Completado
10030,08/01/2020,83618,Completado
9240,08/01/2020,52930,Completado
9901,08/01/2020,18626,Completado
9193,08/01/2020,50815,Completado
9190,08/01/2020,42456,Completado
9342,08/01/2020,90967,Completado
9985,08/01/2020,75984,Completado
9420,09/01/2020,35108,Completado
9454,09/01/2020,50565,Completado
9633,09/01/2020,77484,Completado
10373,09/01/2020,50365,Completado
10398,09/01/2020,57001,Completado
9316,09/01/2020,28868,Completado
10129,09/01/2020,21273,Completado
10071,09/01/2020,24833,Completado
9563,09/01/2020,1815,Completado
10294,09/01/2020,58321,Completado
10529,09/01/2020,522,Completado
10612,09/01/2020,33928,Completado
9428,09/01/2020,40990,Completado
10642,09/01/2020,28223,Completado
9534,09/01/2020,88405,Completado
9871,09/01/2020,92102,Completado
9593,09/01/2020,90343,Completado
9136,09/01/2020,44772,Completado
9296,09/01/2020,41921,Completado
9243,09/01/2020,85042,Completado
10479,10/01/2020,28557,Completado
9063,10/01/2020,4596,Completado
10209,10/01/2020,50042,Completado
9506,10/01/2020,22451,Completado
9041,10/01/2020,77697,Completado
9257,10/01/2020,28226,Completado
9192,10/01/2020,48651,Completado
10192,10/01/2020,54004,Completado
9495,10/01/2020,49576,Completado
10144,10/01/2020,58565,Completado
9695,10/01/2020,94813,Completado
9150,10/01/2020,49123,Completado
9572,10/01/2020,50319,Completado
10130,10/01/2020,20175,Completado
10523,10/01/2020,5743,Completado
10550,10/01/2020,36675,Completado
10008,10/01/2020,50766,Completado
10406,10/01/2020,40874,Completado
9673,10/01/2020,57119,Completado
10058,10/01/2020,9081,Completado
9438,11/01/2020,17728,Completado
10102,11/01/2020,37755,Completado
10023,11/01/2020,48758,Completado
9826,11/01/2020,87833,Completado
9359,11/01/2020,7858,Completado
9865,11/01/2020,63403,Completado
10415,11/01/2020,27839,Completado
9018,11/01/2020,53398,Completado
9438,11/01/2020,24696,Completado
9065,11/01/2020,16520,Completado
10112,11/01/2020,77439,Completado
9335,11/01/2020,34208,Completado
9595,11/01/2020,37771,Completado
9780,11/01/2020,13103,Completado
10164,11/01/2020,67656,Completado
9246,11/01/2020,61483,Completado
9012,11/01/2020,63993,Completado
9484,11/01/2020,22286,Completado
10051,11/01/2020,67276,Completado
9928,11/01/2020,85198,Completado
10273,12/01/2020,12251,Completado
10379,12/01/2020,63007,Completado
9456,12/01/2020,20126,Completado
9901,12/01/2020,52373,Completado
10559,12/01/2020,88861,Completado
9200,12/01/2020,64212,Completado
10260,12/01/2020,81972,Completado
9738,12/01/2020,47672,Completado
9489,12/01/2020,68855,Completado
10252,12/01/2020,86442,Completado
10499,12/01/2020,22667,Completado
10402,12/01/2020,97493,Completado
10596,12/01/2020,25475,Completado
9042,12/01/2020,7544,Completado
10058,12/01/2020,86503,Completado
10139,12/01/2020,36386,Completado
9839,12/01/2020,25195,Completado
9020,12/01/2020,68314,Completado
9979,12/01/2020,20482,Completado
9810,12/01/2020,34001,Completado
9008,13/01/2020,84516,Completado
10558,13/01/2020,84604,Completado
10336,13/01/2020,59283,Completado
10194,13/01/2020,87611,Completado
9580,13/01/2020,89324,Completado
10007,13/01/2020,17880,Completado
9957,13/01/2020,78160,Completado
9504,13/01/2020,75470,Completado
10082,13/01/2020,75710,Completado
10470,13/01/2020,9911,Completado
9647,13/01/2020,4620,Completado
9330,13/01/2020,71898,Completado
10234,13/01/2020,74566,Completado
9756,13/01/2020,80904,Completado
9027,13/01/2020,92999,Completado
9273,13/01/2020,26735,Completado
10368,13/01/2020,18504,Completado
9921,13/01/2020,89400,Completado
10172,13/01/2020,64897,Completado
10011,13/01/2020,5658,Completado
9397,14/01/2020,10207,Completado
10569,14/01/2020,53593,Completado
9925,14/01/2020,6902,Completado
9988,14/01/2020,93970,Completado
9583,14/01/2020,54843,Completado
10575,14/01/2020,36426,Completado
10523,14/01/2020,34497,Completado
10537,14/01/2020,63619,Completado
9985,14/01/2020,54253,Completado
10024,14/01/2020,93008,Completado
9040,14/01/2020,18236,Completado
9694,14/01/2020,99535,Completado
9991,14/01/2020,62800,Completado
9058,14/01/2020,80968,Completado
10062,14/01/2020,70209,Completado
9370,14/01/2020,92771,Completado
9754,14/01/2020,7371,Completado
10224,14/01/2020,31585,Completado
10606,14/01/2020,95768,Completado
9578,14/01/2020,92652,Completado
9207,15/01/2020,67866,Completado
9507,15/01/2020,84769,Completado
9924,15/01/2020,5764,Completado
9443,15/01/2020,23646,Completado
10550,15/01/2020,23287,Completado
10604,15/01/2020,87519,Completado
9632,15/01/2020,90848,Completado
10059,15/01/2020,62758,Completado
9450,15/01/2020,55994,Completado
9790,15/01/2020,52315,Completado
9118,15/01/2020,62204,Completado
9327,15/01/2020,82188,Completado
9464,15/01/2020,23010,Completado
10600,15/01/2020,79620,Completado
9379,15/01/2020,48974,Completado
10168,15/01/2020,51676,Completado
10347,15/01/2020,85782,Completado
9113,15/01/2020,43585,Completado
10483,15/01/2020,62742,Completado
9187,15/01/2020,4587,Completado
9736,16/01/2020,6425,Completado
9037,16/01/2020,37975,Completado
9233,16/01/2020,22849,Completado
10228,16/01/2020,66369,Completado
9959,16/01/2020,1809,Completado
9052,16/01/2020,86816,Completado
10205,16/01/2020,43433,Completado
10168,16/01/2020,46768,Completado
10264,16/01/2020,64738,Completado
10087,16/01/2020,17016,Completado
9018,16/01/2020,84845,Completado
9587,16/01/2020,91411,Completado
9102,16/01/2020,45329,Completado
9644,16/01/2020,91268,Completado
10360,16/01/2020,66223,Completado
10489,16/01/2020,99544,Completado
9925,16/01/2020,93848,Completado
9495,16/01/2020,8274,Completado
10027,16/01/2020,40351,Completado
9291,16/01/2020,1733,Completado
9082,17/01/2020,69105,Completado
10415,17/01/2020,59085,Completado
10070,17/01/2020,32029,Completado
9760,17/01/2020,99867,Completado
10246,17/01/2020,6199,Completado
10414,17/01/2020,52549,Completado
9470,17/01/2020,38464,Completado
9828,17/01/2020,73620,Completado
9436,17/01/2020,48378,Completado
9761,17/01/2020,97764,Completado
9824,17/01/2020,91986,Completado
10010,17/01/2020,43315,Completado
9852,17/01/2020,42365,Completado
9623,17/01/2020,52966,Completado
9725,17/01/2020,85931,Completado
10503,17/01/2020,99830,Completado
10602,17/01/2020,93352,Completado
9271,17/01/2020,33800,Completado
9213,17/01/2020,61708,Completado
10136,17/01/2020,96240,Completado
10430,18/01/2020,85578,Completado
10074,18/01/2020,86543,Completado
9500,18/01/2020,59608,Completado
10470,18/01/2020,99982,Completado
10016,18/01/2020,62821,Completado
9818,18/01/2020,23369,Completado
9607,18/01/2020,31968,Completado
10220,18/01/2020,10018,Completado
9534,18/01/2020,73018,Completado
10404,18/01/2020,17844,Completado
9791,18/01/2020,18042,Completado
9764,18/01/2020,33919,Completado
9717,18/01/2020,75163,Completado
9294,18/01/2020,66284,Completado
10243,18/01/2020,82058,Completado
9268,18/01/2020,30845,Completado
9832,18/01/2020,8265,Completado
9255,18/01/2020,9966,Completado
9981,18/01/2020,14515,Completado
10320,18/01/2020,13563,Completado
9152,19/01/2020,22280,Completado
10222,19/01/2020,18443,Completado
9257,19/01/2020,92817,Completado
9528,19/01/2020,14865,Completado
10273,19/01/2020,73471,Completado
9587,19/01/2020,38470,Completado
10507,19/01/2020,9823,Completado
10431,19/01/2020,16283,Completado
9492,19/01/2020,80576,Completado
9269,19/01/2020,3117,Completado
9648,19/01/2020,58242,Completado
9292,19/01/2020,38854,Completado
10398,19/01/2020,43601,Completado
9842,19/01/2020,3558,Completado
10604,19/01/2020,84124,Completado
9058,19/01/2020,96751,Completado
9727,19/01/2020,25505,Completado
9787,19/01/2020,24593,Completado
10432,19/01/2020,97928,Completado
10505,19/01/2020,13870,Completado
9725,20/01/2020,96523,Completado
9903,20/01/2020,41644,Completado
9327,20/01/2020,50593,Completado
10155,20/01/2020,604,Completado
9340,20/01/2020,41653,Completado
9682,20/01/2020,80341,Completado
9318,20/01/2020,70717,Completado
9925,20/01/2020,96532,Completado
10423,20/01/2020,27839,Completado
10480,20/01/2020,39301,Completado
9876,20/01/2020,66123,Completado
10530,20/01/2020,74219,Completado
9331,20/01/2020,37278,Completado
9022,20/01/2020,73775,Completado
10315,20/01/2020,85688,Completado
10018,20/01/2020,3552,Completado
10117,20/01/2020,60993,Completado
9202,20/01/2020,44535,Completado
9103,20/01/2020,45542,Completado
9104,20/01/2020,80761,Completado
9961,21/01/2020,55592,Completado
9422,21/01/2020,26126,Completado
9957,21/01/2020,16097,Completado
10118,21/01/2020,21246,Completado
9489,21/01/2020,62073,Completado
9869,21/01/2020,79833,Completado
10058,21/01/2020,72902,Completado
9583,21/01/2020,10252,Completado
10129,21/01/2020,87805,Completado
10133,21/01/2020,88904,Completado
9844,21/01/2020,10359,Completado
9097,21/01/2020,20938,Completado
10027,21/01/2020,50833,Completado
10320,21/01/2020,54947,Completado
9858,21/01/2020,15133,Completado
9967,21/01/2020,92044,Completado
10049,21/01/2020,85608,Completado
9076,21/01/2020,57825,Completado
9444,21/01/2020,5992,Completado
9690,21/01/2020,69677,Completado
10107,22/01/2020,13712,Completado
10045,22/01/2020,78440,Completado
10583,22/01/2020,33018,Completado
10164,22/01/2020,9641,Completado
10633,22/01/2020,73319,Completado
10443,22/01/2020,83238,Completado
10417,22/01/2020,41191,Completado
9646,22/01/2020,43850,Completado
9320,22/01/2020,16024,Completado
9564,22/01/2020,71353,Completado
10436,22/01/2020,95129,Completado
9725,22/01/2020,9930,Completado
9584,22/01/2020,60655,Completado
9282,22/01/2020,84327,Completado
9411,22/01/2020,67885,Completado
9340,22/01/2020,40494,Completado
9494,22/01/2020,15005,Completado
9811,22/01/2020,78768,Completado
9703,22/01/2020,90011,Completado
10517,22/01/2020,18276,Completado
10645,23/01/2020,55184,Completado
10615,23/01/2020,60704,Completado
10609,23/01/2020,63899,Completado
9508,23/01/2020,90620,Completado
9145,23/01/2020,71679,Completado
9873,23/01/2020,82870,Completado
10141,23/01/2020,38045,Completado
9525,23/01/2020,49826,Completado
9830,23/01/2020,74807,Completado
9085,23/01/2020,5168,Completado
10305,23/01/2020,45426,Completado
10636,23/01/2020,71986,Completado
9440,23/01/2020,64224,Completado
9663,23/01/2020,15407,Completado
9421,23/01/2020,4194,Completado
9754,23/01/2020,22548,Completado
9604,23/01/2020,60491,Completado
9721,23/01/2020,15869,Completado
9452,23/01/2020,79480,Completado
9045,23/01/2020,20668,Completado
10290,24/01/2020,99228,Completado
9302,24/01/2020,69269,Completado
10385,24/01/2020,10788,Completado
9740,24/01/2020,68819,Completado
10047,24/01/2020,88167,Completado
9226,24/01/2020,9659,Completado
9748,24/01/2020,96958,Completado
9442,24/01/2020,43826,Completado
9733,24/01/2020,25661,Completado
10148,24/01/2020,13015,Completado
10558,24/01/2020,49966,Completado
9512,24/01/2020,49354,Completado
9879,24/01/2020,82064,Completado
10170,24/01/2020,33666,Completado
9735,24/01/2020,4806,Completado
9493,24/01/2020,33045,Completado
9896,24/01/2020,45533,Completado
9246,24/01/2020,978,Completado
9754,24/01/2020,96148,Completado
9975,24/01/2020,64206,Completado
9135,25/01/2020,26573,Completado
10498,25/01/2020,78352,Completado
9114,25/01/2020,97296,Completado
9077,25/01/2020,75613,Completado
9800,25/01/2020,28451,Completado
10222,25/01/2020,87197,Completado
9463,25/01/2020,18793,Completado
9007,25/01/2020,66397,Completado
10191,25/01/2020,78443,Completado
9492,25/01/2020,89969,Completado
9774,25/01/2020,71445,Completado
9670,25/01/2020,68180,Completado
9677,25/01/2020,22591,Completado
9509,25/01/2020,38480,Completado
10586,25/01/2020,93380,Completado
9062,25/01/2020,73794,Completado
10570,25/01/2020,80691,Completado
10453,25/01/2020,82739,Completado
10239,25/01/2020,36526,Completado
10441,25/01/2020,28323,Completado
10352,26/01/2020,67751,Completado
10536,26/01/2020,44793,Completado
9528,26/01/2020,16831,Completado
9977,26/01/2020,81875,Completado
10546,26/01/2020,73608,Completado
10202,26/01/2020,51603,Completado
9990,26/01/2020,28013,Completado
9272,26/01/2020,7313,Completado
9341,26/01/2020,8417,Completado
9946,26/01/2020,33800,Completado
9100,26/01/2020,16721,Completado
9997,26/01/2020,76182,Completado
9241,26/01/2020,8098,Completado
9987,26/01/2020,84388,Completado
10488,26/01/2020,20029,Completado
10375,26/01/2020,2858,Completado
10098,26/01/2020,4739,Completado
10146,26/01/2020,82128,Completado
9673,26/01/2020,66108,Completado
10097,26/01/2020,44793,Completado
10587,27/01/2020,57259,Completado
9929,27/01/2020,75163,Completado
9625,27/01/2020,37530,Completado
10510,27/01/2020,71295,Completado
9885,27/01/2020,46467,Completado
10461,27/01/2020,29029,Completado
10206,27/01/2020,95400,Completado
10071,27/01/2020,90480,Completado
9549,27/01/2020,30623,Completado
10047,27/01/2020,35805,Completado
9332,27/01/2020,69053,Completado
9884,27/01/2020,40914,Completado
9028,27/01/2020,65134,Completado
9807,27/01/2020,87057,Completado
9278,27/01/2020,4821,Completado
9563,27/01/2020,44364,Completado
9602,27/01/2020,84537,Completado
9646,27/01/2020,8777,Completado
10027,27/01/2020,79182,Completado
9890,27/01/2020,22965,Completado
10298,28/01/2020,46211,Completado
9367,28/01/2020,56903,Completado
9403,28/01/2020,75698,Completado
9093,28/01/2020,76599,Completado
10600,28/01/2020,36709,Completado
9986,28/01/2020,79563,Completado
9996,28/01/2020,21017,Completado
9201,28/01/2020,25286,Completado
10067,28/01/2020,41574,Completado
10325,28/01/2020,37789,Completado
9834,28/01/2020,85572,Completado
9443,28/01/2020,10900,Completado
9805,28/01/2020,76593,Completado
10378,28/01/2020,90045,Completado
9716,28/01/2020,48037,Completado
9729,28/01/2020,64483,Completado
9210,28/01/2020,82258,Completado
9962,28/01/2020,41112,Completado
9236,28/01/2020,18595,Completado
9391,28/01/2020,34950,Completado
9494,29/01/2020,79931,Completado
9208,29/01/2020,49768,Completado
9588,29/01/2020,28040,Completado
9433,29/01/2020,78680,Completado
9196,29/01/2020,91228,Completado
9264,29/01/2020,2901,Completado
10003,29/01/2020,78008,Completado
10035,29/01/2020,14917,Completado
9763,29/01/2020,20019,Completado
9908,29/01/2020,48700,Completado
9322,29/01/2020,54137,Completado
9924,29/01/2020,39694,Completado
9826,29/01/2020,95239,Completado
9016,29/01/2020,95403,Completado
9419,29/01/2020,646,Completado
9233,29/01/2020,6452,Completado
9553,29/01/2020,79885,Completado
10460,29/01/2020,70297,Completado
10611,29/01/2020,58397,Completado
9271,29/01/2020,65195,Completado
10263,30/01/2020,37889,Completado
9180,30/01/2020,41614,Completado
10554,30/01/2020,66476,Completado
9219,30/01/2020,67735,Completado
9326,30/01/2020,66531,Completado
9364,30/01/2020,3948,Completado
9935,30/01/2020,23707,Completado
9605,30/01/2020,32358,Completado
10057,30/01/2020,91210,Completado
9930,30/01/2020,25070,Completado
10133,30/01/2020,14281,Completado
9403,30/01/2020,72531,Completado
10447,30/01/2020,21608,Completado
9957,30/01/2020,56270,Completado
9454,30/01/2020,95954,Completado
9926,30/01/2020,88843,Completado
10177,30/01/2020,69890,Completado
9386,30/01/2020,4398,Completado
9431,30/01/2020,51192,Completado
9043,30/01/2020,21769,Completado
9630,31/01/2020,34472,Completado
9924,31/01/2020,65639,Completado
9819,31/01/2020,97953,Completado
10418,31/01/2020,67036,Completado
9099,31/01/2020,41964,Completado
9577,31/01/2020,24873,Completado
10373,31/01/2020,67507,Completado
9918,31/01/2020,56000,Completado
9842,31/01/2020,55257,Completado
10549,31/01/2020,13167,Completado
9547,31/01/2020,40445,Completado
10191,31/01/2020,94737,Completado
10420,31/01/2020,42173,Completado
9247,31/01/2020,31484,Completado
9974,31/01/2020,47961,Completado
9134,31/01/2020,69050,Completado
9808,31/01/2020,7018,Completado
9526,31/01/2020,35172,Completado
9345,31/01/2020,34844,Completado
9950,31/01/2020,9388,Completado
9077,01/02/2020,84422,Completado
9816,01/02/2020,80807,Completado
9598,01/02/2020,84206,Completado
10020,01/02/2020,19587,Completado
9981,01/02/2020,97320,Completado
10202,01/02/2020,36818,Completado
9847,01/02/2020,6595,Completado
9734,01/02/2020,68487,Completado
10471,01/02/2020,74533,Completado
9827,01/02/2020,54350,Completado
9404,01/02/2020,88152,Completado
9997,01/02/2020,43299,Completado
10275,01/02/2020,33067,Completado
9452,01/02/2020,3701,Completado
9349,01/02/2020,6744,Completado
9949,01/02/2020,64690,Completado
10111,01/02/2020,22122,Completado
9268,01/02/2020,69832,Completado
9375,01/02/2020,3841,Completado
9828,01/02/2020,66531,Completado
9454,02/02/2020,30006,Completado
10220,02/02/2020,14302,Completado
9775,02/02/2020,24997,Completado
9098,02/02/2020,36213,Completado
9448,02/02/2020,53066,Completado
10594,02/02/2020,94831,Completado
10344,02/02/2020,19320,Completado
9717,02/02/2020,18154,Completado
9443,02/02/2020,27550,Completado
9388,02/02/2020,53045,Completado
9481,02/02/2020,2186,Completado
9750,02/02/2020,79897,Completado
10319,02/02/2020,23144,Completado
9894,02/02/2020,58957,Completado
10089,02/02/2020,80570,Completado
10333,02/02/2020,41449,Completado
9783,02/02/2020,360,Completado
10318,02/02/2020,22761,Completado
9215,02/02/2020,42128,Completado
9697,02/02/2020,64541,Completado
9400,03/02/2020,29017,Completado
9423,03/02/2020,65712,Completado
9295,03/02/2020,3695,Completado
10548,03/02/2020,8046,Completado
10299,03/02/2020,70523,Completado
9074,03/02/2020,56261,Completado
9856,03/02/2020,25286,Completado
9560,03/02/2020,42189,Completado
9101,03/02/2020,21885,Completado
10417,03/02/2020,6145,Completado
9295,03/02/2020,85593,Completado
10110,03/02/2020,28892,Completado
10486,03/02/2020,21462,Completado
10259,03/02/2020,30279,Completado
10156,03/02/2020,20038,Completado
10531,03/02/2020,61187,Completado
10370,03/02/2020,19350,Completado
9176,03/02/2020,69835,Completado
9805,03/02/2020,19688,Completado
9032,03/02/2020,67915,Completado
10535,04/02/2020,8363,Completado
9944,04/02/2020,76462,Completado
9407,04/02/2020,95738,Completado
10462,04/02/2020,78942,Completado
10433,04/02/2020,18179,Completado
9612,04/02/2020,59420,Completado
9950,04/02/2020,5119,Completado
10255,04/02/2020,54189,Completado
9074,04/02/2020,72102,Completado
9860,04/02/2020,95303,Completado
10118,04/02/2020,36061,Completado
9829,04/02/2020,74083,Completado
10399,04/02/2020,6759,Completado
9474,04/02/2020,1291,Completado
9300,04/02/2020,61291,Completado
9169,04/02/2020,93799,Completado
9128,04/02/2020,51998,Completado
10195,04/02/2020,67720,Completado
9172,04/02/2020,49403,Completado
9474,04/02/2020,58933,Completado
9708,05/02/2020,77280,Completado
9596,05/02/2020,58343,Completado
10536,05/02/2020,40330,Completado
9444,05/02/2020,83488,Completado
9279,05/02/2020,96809,Completado
10631,05/02/2020,67522,Completado
10371,05/02/2020,83405,Completado
9984,05/02/2020,91959,Completado
10453,05/02/2020,39365,Completado
9994,05/02/2020,43929,Completado
10609,05/02/2020,38361,Completado
9252,05/02/2020,22238,Completado
9629,05/02/2020,78963,Completado
9719,05/02/2020,74460,Completado
9010,05/02/2020,36837,Completado
9428,05/02/2020,90842,Completado
10181,05/02/2020,30772,Completado
9246,05/02/2020,32540,Completado
9996,05/02/2020,9169,Completado
10521,05/02/2020,23725,Completado
9539,06/02/2020,5834,Completado
9202,06/02/2020,86390,Completado
9360,06/02/2020,71155,Completado
9325,06/02/2020,44343,Completado
9499,06/02/2020,31320,Completado
10460,06/02/2020,73148,Completado
10438,06/02/2020,75753,Completado
10093,06/02/2020,29683,Completado
10298,06/02/2020,32221,Completado
10106,06/02/2020,32047,Completado
9241,06/02/2020,24760,Completado
9090,06/02/2020,24754,Completado
9815,06/02/2020,74773,Completado
9136,06/02/2020,2283,Completado
9385,06/02/2020,44279,Completado
10621,06/02/2020,21757,Completado
9576,06/02/2020,73973,Completado
10478,06/02/2020,82605,Completado
9280,06/02/2020,23674,Completado
10350,06/02/2020,975,Completado
9430,07/02/2020,61899,Completado
9004,07/02/2020,54700,Completado
9250,07/02/2020,14777,Completado
10086,07/02/2020,33982,Completado
9030,07/02/2020,19876,Completado
9706,07/02/2020,65922,Completado
9001,07/02/2020,95184,Completado
9749,07/02/2020,50365,Completado
9502,07/02/2020,72026,Completado
9890,07/02/2020,78212,Completado
10216,07/02/2020,94469,Completado
9400,07/02/2020,65536,Completado
10397,07/02/2020,43223,Completado
9544,07/02/2020,77226,Completado
9500,07/02/2020,80612,Completado
9846,07/02/2020,72102,Completado
10136,07/02/2020,76410,Completado
10390,07/02/2020,44687,Completado
9614,07/02/2020,11442,Completado
10147,07/02/2020,93194,Completado
9944,08/02/2020,16055,Completado
10211,08/02/2020,92759,Completado
9537,08/02/2020,46582,Completado
10274,08/02/2020,98756,Completado
9773,08/02/2020,50395,Completado
10542,08/02/2020,62499,Completado
9534,08/02/2020,24422,Completado
9032,08/02/2020,83810,Completado
9362,08/02/2020,20135,Completado
9764,08/02/2020,81957,Completado
9854,08/02/2020,98087,Completado
10412,08/02/2020,9650,Completado
9502,08/02/2020,85587,Completado
9563,08/02/2020,89874,Completado
9627,08/02/2020,37923,Completado
10419,08/02/2020,6765,Completado
10218,08/02/2020,60311,Completado
10074,08/02/2020,19892,Completado
9267,08/02/2020,91825,Completado
10412,08/02/2020,41824,Completado
9156,09/02/2020,3485,Completado
10173,09/02/2020,47078,Completado
9779,09/02/2020,13514,Completado
9273,09/02/2020,45837,Completado
10047,09/02/2020,76973,Completado
9617,09/02/2020,99161,Completado
10634,09/02/2020,47495,Completado
10585,09/02/2020,4882,Completado
9987,09/02/2020,65888,Completado
9745,09/02/2020,28265,Completado
9493,09/02/2020,81981,Completado
10274,09/02/2020,13459,Completado
9959,09/02/2020,58221,Completado
9446,09/02/2020,44413,Completado
10361,09/02/2020,60542,Completado
9136,09/02/2020,91073,Completado
9109,09/02/2020,90023,Completado
9563,09/02/2020,14844,Completado
10563,09/02/2020,57287,Completado
9112,09/02/2020,61084,Completado
9090,10/02/2020,52330,Completado
9278,10/02/2020,22146,Completado
9307,10/02/2020,15519,Completado
9775,10/02/2020,90139,Completado
10401,10/02/2020,59213,Completado
9272,10/02/2020,87337,Completado
9878,10/02/2020,47243,Completado
9959,10/02/2020,93443,Completado
10562,10/02/2020,80500,Completado
10172,10/02/2020,54959,Completado
10518,10/02/2020,97058,Completado
9584,10/02/2020,99693,Completado
9083,10/02/2020,35653,Completado
9544,10/02/2020,39036,Completado
10319,10/02/2020,67163,Completado
10053,10/02/2020,80110,Completado
9351,10/02/2020,49631,Completado
10619,10/02/2020,33992,Completado
10385,10/02/2020,4711,Completado
9913,10/02/2020,39170,Completado
9195,11/02/2020,73173,Completado
